uniprot_id,organism_name,organism_id,lineage,category,subcategory,is_bia_related
A0A097HUX0,Danio rerio (Zebrafish) (Brachydanio rerio),7955,"cellular organisms (no rank), Eukaryota (domain), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Deuterostomia (clade), Chordata (phylum), Craniata (subphylum), Vertebrata (clade), Gnathostomata (clade), Teleostomi (clade), Euteleostomi (clade), Actinopterygii (superclass), Actinopteri (class), Neopterygii (subclass), Teleostei (infraclass), Osteoglossocephalai (clade), Clupeocephala (no rank), Otomorpha (cohort), Ostariophysi (subcohort), Otophysi (clade), Cypriniphysae (superorder), Cypriniformes (order), Cyprinoidei (suborder), Danionidae (family), Danioninae (subfamily), Danio (genus)",Other_Animals,Fish,False
A0A1J1DVP9,Chamberlinius hualienensis,1551368,"cellular organisms (no rank), Eukaryota (domain), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Protostomia (clade), Ecdysozoa (clade), Panarthropoda (clade), Arthropoda (phylum), Mandibulata (clade), Myriapoda (subphylum), Diplopoda (class), Helminthomorpha (subclass), Polydesmida (order), Paradoxosomatidae (family), Chamberlinius (genus)",Other_Animals,Other animals,False
A0A286LD89,Melipona scutellaris,263364,"cellular organisms (no rank), Eukaryota (domain), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Protostomia (clade), Ecdysozoa (clade), Panarthropoda (clade), Arthropoda (phylum), Mandibulata (clade), Pancrustacea (clade), Hexapoda (subphylum), Insecta (class), Dicondylia (clade), Pterygota (subclass), Neoptera (infraclass), Endopterygota (cohort), Hymenoptera (order), Apocrita (suborder), Aculeata (infraorder), Apoidea (superfamily), Anthophila (clade), Apidae (family), Apinae (subfamily), Meliponini (tribe), Melipona (genus)",Other_Animals,Insects,False
A0A2C9DK12,Epicauta chinensis,941254,"cellular organisms (no rank), Eukaryota (domain), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Protostomia (clade), Ecdysozoa (clade), Panarthropoda (clade), Arthropoda (phylum), Mandibulata (clade), Pancrustacea (clade), Hexapoda (subphylum), Insecta (class), Dicondylia (clade), Pterygota (subclass), Neoptera (infraclass), Endopterygota (cohort), Coleoptera (order), Polyphaga (suborder), Cucujiformia (infraorder), Tenebrionoidea (superfamily), Meloidae (family), Meloinae (subfamily), Epicauta (genus)",Other_Animals,Insects,False
A0A8C1NRV4,Cyprinus carpio (Common carp),7962,"cellular organisms (no rank), Eukaryota (domain), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Deuterostomia (clade), Chordata (phylum), Craniata (subphylum), Vertebrata (clade), Gnathostomata (clade), Teleostomi (clade), Euteleostomi (clade), Actinopterygii (superclass), Actinopteri (class), Neopterygii (subclass), Teleostei (infraclass), Osteoglossocephalai (clade), Clupeocephala (no rank), Otomorpha (cohort), Ostariophysi (subcohort), Otophysi (clade), Cypriniphysae (superorder), Cypriniformes (order), Cyprinoidei (suborder), Cyprinidae (family), Cyprininae (subfamily), Cyprinus (genus)",Other_Animals,Fish,False
A0A8C4ECQ9,Dicentrarchus labrax (European seabass) (Morone labrax),13489,"cellular organisms (no rank), Eukaryota (domain), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Deuterostomia (clade), Chordata (phylum), Craniata (subphylum), Vertebrata (clade), Gnathostomata (clade), Teleostomi (clade), Euteleostomi (clade), Actinopterygii (superclass), Actinopteri (class), Neopterygii (subclass), Teleostei (infraclass), Osteoglossocephalai (clade), Clupeocephala (no rank), Euteleosteomorpha (cohort), Neoteleostei (clade), Eurypterygia (clade), Ctenosquamata (clade), Acanthomorphata (clade), Euacanthomorphacea (clade), Percomorphaceae (clade), Eupercaria (clade), Eupercaria incertae sedis (no rank), Moronidae (family), Dicentrarchus (genus)",Other_Animals,Fish,False
A6P663,Glandirana rugosa (Japanese wrinkled frog) (Rana rugosa),8410,"cellular organisms (no rank), Eukaryota (domain), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Deuterostomia (clade), Chordata (phylum), Craniata (subphylum), Vertebrata (clade), Gnathostomata (clade), Teleostomi (clade), Euteleostomi (clade), Sarcopterygii (superclass), Dipnotetrapodomorpha (clade), Tetrapoda (clade), Amphibia (class), Batrachia (superorder), Anura (order), Neobatrachia (suborder), Ranoidea (superfamily), Ranidae (family), Glandirana (genus)",Other_Animals,Other animals,False
B8RBV1,Ips confusus,102829,"cellular organisms (no rank), Eukaryota (domain), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Protostomia (clade), Ecdysozoa (clade), Panarthropoda (clade), Arthropoda (phylum), Mandibulata (clade), Pancrustacea (clade), Hexapoda (subphylum), Insecta (class), Dicondylia (clade), Pterygota (subclass), Neoptera (infraclass), Endopterygota (cohort), Coleoptera (order), Polyphaga (suborder), Cucujiformia (infraorder), Curculionoidea (superfamily), Curculionidae (family), Scolytinae (subfamily), Ips (genus)",Other_Animals,Insects,False
C0SPF7,Bombyx mori (Silk moth),7091,"cellular organisms (no rank), Eukaryota (domain), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Protostomia (clade), Ecdysozoa (clade), Panarthropoda (clade), Arthropoda (phylum), Mandibulata (clade), Pancrustacea (clade), Hexapoda (subphylum), Insecta (class), Dicondylia (clade), Pterygota (subclass), Neoptera (infraclass), Endopterygota (cohort), Amphiesmenoptera (superorder), Lepidoptera (order), Glossata (suborder), Neolepidoptera (infraorder), Heteroneura (parvorder), Ditrysia (clade), Obtectomera (clade), Bombycoidea (superfamily), Bombycidae (family), Bombycinae (subfamily), Bombyx (genus)",Other_Animals,Insects,False
C7B608,Clarias gariepinus (North African catfish) (Silurus gariepinus),13013,"cellular organisms (no rank), Eukaryota (domain), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Deuterostomia (clade), Chordata (phylum), Craniata (subphylum), Vertebrata (clade), Gnathostomata (clade), Teleostomi (clade), Euteleostomi (clade), Actinopterygii (superclass), Actinopteri (class), Neopterygii (subclass), Teleostei (infraclass), Osteoglossocephalai (clade), Clupeocephala (no rank), Otomorpha (cohort), Ostariophysi (subcohort), Otophysi (clade), Characiphysae (superorder), Siluriformes (order), Siluroidei (suborder), Clariidae (family), Clarias (genus)",Other_Animals,Fish,False
D3TJH0,Hypophthalmichthys molitrix (Silver carp) (Leuciscus molitrix),13095,"cellular organisms (no rank), Eukaryota (domain), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Deuterostomia (clade), Chordata (phylum), Craniata (subphylum), Vertebrata (clade), Gnathostomata (clade), Teleostomi (clade), Euteleostomi (clade), Actinopterygii (superclass), Actinopteri (class), Neopterygii (subclass), Teleostei (infraclass), Osteoglossocephalai (clade), Clupeocephala (no rank), Otomorpha (cohort), Ostariophysi (subcohort), Otophysi (clade), Cypriniphysae (superorder), Cypriniformes (order), Cyprinoidei (suborder), Xenocyprididae (family), Xenocypridinae (subfamily), Hypophthalmichthys (genus)",Other_Animals,Fish,False
D6CJJ9,Blattella germanica (German cockroach) (Blatta germanica),6973,"cellular organisms (no rank), Eukaryota (domain), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Protostomia (clade), Ecdysozoa (clade), Panarthropoda (clade), Arthropoda (phylum), Mandibulata (clade), Pancrustacea (clade), Hexapoda (subphylum), Insecta (class), Dicondylia (clade), Pterygota (subclass), Neoptera (infraclass), Polyneoptera (cohort), Dictyoptera (superorder), Blattodea (order), Blaberoidea (superfamily), Blattellidae (family), Blattella (genus)",Other_Animals,Insects,False
D6WFY6,Tribolium castaneum (Red flour beetle),7070,"cellular organisms (no rank), Eukaryota (domain), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Protostomia (clade), Ecdysozoa (clade), Panarthropoda (clade), Arthropoda (phylum), Mandibulata (clade), Pancrustacea (clade), Hexapoda (subphylum), Insecta (class), Dicondylia (clade), Pterygota (subclass), Neoptera (infraclass), Endopterygota (cohort), Coleoptera (order), Polyphaga (suborder), Cucujiformia (infraorder), Tenebrionoidea (superfamily), Tenebrionidae (family), Tenebrionidae incertae sedis (no rank), Tribolium (genus)",Other_Animals,Insects,False
H9MFM9,Schistocerca gregaria (Desert locust) (Gryllus gregarius),7010,"cellular organisms (no rank), Eukaryota (domain), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Protostomia (clade), Ecdysozoa (clade), Panarthropoda (clade), Arthropoda (phylum), Mandibulata (clade), Pancrustacea (clade), Hexapoda (subphylum), Insecta (class), Dicondylia (clade), Pterygota (subclass), Neoptera (infraclass), Polyneoptera (cohort), Orthoptera (order), Caelifera (suborder), Acrididea (infraorder), Acridomorpha (no rank), Acridoidea (superfamily), Acrididae (family), Cyrtacanthacridinae (subfamily), Schistocerca (genus)",Other_Animals,Insects,False
P30437,Oncorhynchus mykiss (Rainbow trout) (Salmo gairdneri),8022,"cellular organisms (no rank), Eukaryota (domain), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Deuterostomia (clade), Chordata (phylum), Craniata (subphylum), Vertebrata (clade), Gnathostomata (clade), Teleostomi (clade), Euteleostomi (clade), Actinopterygii (superclass), Actinopteri (class), Neopterygii (subclass), Teleostei (infraclass), Osteoglossocephalai (clade), Clupeocephala (no rank), Euteleosteomorpha (cohort), Protacanthopterygii (clade), Salmoniformes (order), Salmonidae (family), Salmoninae (subfamily), Oncorhynchus (genus)",Other_Animals,Fish,False
Q00G65,Ips pini (Pine engraver beetle),102803,"cellular organisms (no rank), Eukaryota (domain), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Protostomia (clade), Ecdysozoa (clade), Panarthropoda (clade), Arthropoda (phylum), Mandibulata (clade), Pancrustacea (clade), Hexapoda (subphylum), Insecta (class), Dicondylia (clade), Pterygota (subclass), Neoptera (infraclass), Endopterygota (cohort), Coleoptera (order), Polyphaga (suborder), Cucujiformia (infraorder), Curculionoidea (superfamily), Curculionidae (family), Scolytinae (subfamily), Ips (genus)",Other_Animals,Insects,False
Q04552,Papilio polyxenes (Black swallowtail butterfly),7146,"cellular organisms (no rank), Eukaryota (domain), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Protostomia (clade), Ecdysozoa (clade), Panarthropoda (clade), Arthropoda (phylum), Mandibulata (clade), Pancrustacea (clade), Hexapoda (subphylum), Insecta (class), Dicondylia (clade), Pterygota (subclass), Neoptera (infraclass), Endopterygota (cohort), Amphiesmenoptera (superorder), Lepidoptera (order), Glossata (suborder), Neolepidoptera (infraorder), Heteroneura (parvorder), Ditrysia (clade), Obtectomera (clade), Papilionoidea (superfamily), Papilionidae (family), Papilioninae (subfamily), Papilionini (tribe), Papilio (genus)",Other_Animals,Insects,False
Q1JPY5,Danio rerio (Zebrafish) (Brachydanio rerio),7955,"cellular organisms (no rank), Eukaryota (domain), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Deuterostomia (clade), Chordata (phylum), Craniata (subphylum), Vertebrata (clade), Gnathostomata (clade), Teleostomi (clade), Euteleostomi (clade), Actinopterygii (superclass), Actinopteri (class), Neopterygii (subclass), Teleostei (infraclass), Osteoglossocephalai (clade), Clupeocephala (no rank), Otomorpha (cohort), Ostariophysi (subcohort), Otophysi (clade), Cypriniphysae (superorder), Cypriniformes (order), Cyprinoidei (suborder), Danionidae (family), Danioninae (subfamily), Danio (genus)",Other_Animals,Fish,False
Q2EMR3,Manduca sexta (Tobacco hawkmoth) (Tobacco hornworm),7130,"cellular organisms (no rank), Eukaryota (domain), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Protostomia (clade), Ecdysozoa (clade), Panarthropoda (clade), Arthropoda (phylum), Mandibulata (clade), Pancrustacea (clade), Hexapoda (subphylum), Insecta (class), Dicondylia (clade), Pterygota (subclass), Neoptera (infraclass), Endopterygota (cohort), Amphiesmenoptera (superorder), Lepidoptera (order), Glossata (suborder), Neolepidoptera (infraorder), Heteroneura (parvorder), Ditrysia (clade), Obtectomera (clade), Bombycoidea (superfamily), Sphingidae (family), Sphinginae (subfamily), Sphingini (tribe), Manduca (genus)",Other_Animals,Insects,False
Q3LFR2,Bombyx mori (Silk moth),7091,"cellular organisms (no rank), Eukaryota (domain), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Protostomia (clade), Ecdysozoa (clade), Panarthropoda (clade), Arthropoda (phylum), Mandibulata (clade), Pancrustacea (clade), Hexapoda (subphylum), Insecta (class), Dicondylia (clade), Pterygota (subclass), Neoptera (infraclass), Endopterygota (cohort), Amphiesmenoptera (superorder), Lepidoptera (order), Glossata (suborder), Neolepidoptera (infraorder), Heteroneura (parvorder), Ditrysia (clade), Obtectomera (clade), Bombycoidea (superfamily), Bombycidae (family), Bombycinae (subfamily), Bombyx (genus)",Other_Animals,Insects,False
Q5ILH2,Gallus gallus (Chicken),9031,"cellular organisms (no rank), Eukaryota (domain), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Deuterostomia (clade), Chordata (phylum), Craniata (subphylum), Vertebrata (clade), Gnathostomata (clade), Teleostomi (clade), Euteleostomi (clade), Sarcopterygii (superclass), Dipnotetrapodomorpha (clade), Tetrapoda (clade), Amniota (clade), Sauropsida (clade), Sauria (clade), Archelosauria (clade), Archosauria (clade), Dinosauria (clade), Saurischia (clade), Theropoda (clade), Coelurosauria (clade), Aves (class), Neognathae (infraclass), Galloanserae (superorder), Galliformes (order), Phasianidae (family), Phasianinae (subfamily), Gallus (genus)",Other_Animals,Other animals,False
Q6R7M4,Diploptera punctata (Pacific beetle cockroach),6984,"cellular organisms (no rank), Eukaryota (domain), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Protostomia (clade), Ecdysozoa (clade), Panarthropoda (clade), Arthropoda (phylum), Mandibulata (clade), Pancrustacea (clade), Hexapoda (subphylum), Insecta (class), Dicondylia (clade), Pterygota (subclass), Neoptera (infraclass), Polyneoptera (cohort), Dictyoptera (superorder), Blattodea (order), Blaberoidea (superfamily), Blaberidae (family), Diplopterinae (subfamily), Diploptera (genus)",Other_Animals,Insects,False
Q6TH81,Drosophila melanogaster (Fruit fly),7227,"cellular organisms (no rank), Eukaryota (domain), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Protostomia (clade), Ecdysozoa (clade), Panarthropoda (clade), Arthropoda (phylum), Mandibulata (clade), Pancrustacea (clade), Hexapoda (subphylum), Insecta (class), Dicondylia (clade), Pterygota (subclass), Neoptera (infraclass), Endopterygota (cohort), Diptera (order), Brachycera (suborder), Muscomorpha (infraorder), Eremoneura (clade), Cyclorrhapha (clade), Schizophora (no rank), Acalyptratae (no rank), Ephydroidea (superfamily), Drosophilidae (family), Drosophilinae (subfamily), Drosophilini (tribe), Drosophila (genus), Sophophora (subgenus), melanogaster group (no rank), melanogaster subgroup (no rank)",Other_Animals,Insects,False
Q9VUF8,Drosophila melanogaster (Fruit fly),7227,"cellular organisms (no rank), Eukaryota (domain), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Protostomia (clade), Ecdysozoa (clade), Panarthropoda (clade), Arthropoda (phylum), Mandibulata (clade), Pancrustacea (clade), Hexapoda (subphylum), Insecta (class), Dicondylia (clade), Pterygota (subclass), Neoptera (infraclass), Endopterygota (cohort), Diptera (order), Brachycera (suborder), Muscomorpha (infraorder), Eremoneura (clade), Cyclorrhapha (clade), Schizophora (no rank), Acalyptratae (no rank), Ephydroidea (superfamily), Drosophilidae (family), Drosophilinae (subfamily), Drosophilini (tribe), Drosophila (genus), Sophophora (subgenus), melanogaster group (no rank), melanogaster subgroup (no rank)",Other_Animals,Insects,False
V5K5L7,Leptinotarsa decemlineata (Colorado potato beetle) (Doryphora decemlineata),7539,"cellular organisms (no rank), Eukaryota (domain), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Protostomia (clade), Ecdysozoa (clade), Panarthropoda (clade), Arthropoda (phylum), Mandibulata (clade), Pancrustacea (clade), Hexapoda (subphylum), Insecta (class), Dicondylia (clade), Pterygota (subclass), Neoptera (infraclass), Endopterygota (cohort), Coleoptera (order), Polyphaga (suborder), Cucujiformia (infraorder), Chrysomeloidea (superfamily), Chrysomelidae (family), Chrysomelinae (subfamily), Doryphorini (tribe), Leptinotarsa (genus)",Other_Animals,Insects,False
